date,actual,predicted_probability,prediction,close,market_return,signal,strategy_return,benchmark_cumulative,strategy_cumulative
2023-04-19,0,0.4116657,0,414.1400146484375,-0.0001689404120717164,0.0,-0.0,1.0447000671522186,0.9923881935938945
2023-04-20,0,0.41199893,0,411.8800048828125,-0.005457115192173623,0.0,-0.0,1.0389990185444975,0.9923881935938945
2023-04-21,0,0.4176835,0,412.2000122070313,0.0007769430912525355,0.0,0.0,1.0398062616537738,0.9923881935938945
2023-04-24,0,0.42371342,0,412.6300048828125,0.0010431651214148907,0.0,0.0,1.0408909512789597,0.9923881935938945
2023-04-25,0,0.42758963,0,406.0799865722656,-0.015873829418699414,0.0,-0.0,1.0243680258748897,0.9923881935938945
2023-04-26,1,0.44497982,0,404.3599853515625,-0.004235621743444495,0.0,-0.0,1.0200291903912047,0.9923881935938945
2023-04-27,1,0.4585997,0,412.4100036621094,0.01990804877378749,0.0,0.0,1.0403359812641997,0.9923881935938945
2023-04-28,0,0.45852423,0,415.9299926757813,0.008535168842693563,0.0,0.0,1.049215424517419,0.9923881935938945
2023-05-01,0,0.4505134,0,415.510009765625,-0.0010097442299230597,0.0,-0.0,1.0481559852965663,0.9923881935938945
2023-05-02,0,0.4437424,0,410.8399963378906,-0.011239232071373118,0.0,-0.0,1.0363755169308195,0.9923881935938945
2023-05-03,0,0.4515203,0,408.0199890136719,-0.006864003868551016,0.0,-0.0,1.0292618313733348,0.9923881935938945
2023-05-04,1,0.46450698,0,405.1300048828125,-0.007082947425800068,0.0,-0.0,1.0219716239343348,0.9923881935938945
2023-05-05,0,0.4731419,0,412.6300048828125,0.018512575986983304,0.0,0.0,1.04089095127896,0.9923881935938945
2023-05-08,0,0.4701618,0,412.739990234375,0.0002665471494098792,0.0,0.0,1.0411683977948698,0.9923881935938945
2023-05-09,1,0.46352094,0,410.9299926757813,-0.004385321513347584,0.0,-0.0,1.0366025396210024,0.9923881935938945
2023-05-10,0,0.46054208,0,412.8500061035156,0.0046723613801760155,0.0,0.0,1.04144592129372,0.9923881935938945
2023-05-11,0,0.4596945,0,412.1300048828125,-0.001743977740241598,0.0,-0.0,1.0396296627893182,0.9923881935938945
2023-05-12,1,0.4561612,0,411.5899963378906,-0.001310286896183177,0.0,-0.0,1.038267449665282,0.9923881935938945
2023-05-15,0,0.45495993,0,413.010009765625,0.0034500678839837207,0.0,0.0,1.0418495428483578,0.9923881935938945
2023-05-16,1,0.44726577,0,410.25,-0.006682670396272572,0.0,-0.0,1.034887205750995,0.9923881935938945
2023-05-17,1,0.44607416,0,415.2300109863281,0.01213896645052559,0.0,0.0,1.0474496668216846,0.9923881935938945
2023-05-18,0,0.44613373,0,419.2300109863281,0.009633215071565893,0.0,0.0,1.057539974738818,0.9923881935938945
2023-05-19,0,0.44227725,0,418.6199951171875,-0.0014550863563069782,0.0,-0.0,1.0560011627503263,0.9923881935938945
2023-05-22,0,0.43846303,0,418.7900085449219,0.0004061283018428341,0.0,0.0,1.056430034709298,0.9923881935938945
2023-05-23,0,0.4321698,0,414.0899963378906,-0.011222837486886017,0.0,-0.0,1.0445738921134902,0.9923881935938945
2023-05-24,1,0.4378116,0,411.0899963378906,-0.007244801918740551,0.0,-0.0,1.03700616117564,0.9923881935938945
2023-05-25,1,0.4439973,0,414.6499938964844,0.008659898295524604,0.0,0.0,1.0459865290632535,0.9923881935938945
2023-05-26,0,0.4481047,0,420.0199890136719,0.012950669712364915,0.0,0.0,1.0595327551247347,0.9923881935938945
2023-05-30,0,0.44463763,0,420.1799926757813,0.0003809429700838418,0.0,0.0,1.059936376679373,0.9923881935938945
2023-05-31,1,0.43843636,0,417.8500061035156,-0.005545210654671839,0.0,-0.0,1.0540588061901364,0.9923881935938945
2023-06-01,1,0.43992552,0,421.8200073242188,0.00950101989401353,0.0,0.0,1.064073439877209,0.9923881935938945
2023-06-02,0,0.43723646,0,427.9200134277344,0.014461158782416383,0.0,0.0,1.0794611748474252,0.9923881935938945
2023-06-05,1,0.42884398,0,427.1000061035156,-0.0019162630830240612,0.0,-0.0,1.0773926432485073,0.9923881935938945
2023-06-06,0,0.4233002,0,428.0299987792969,0.0021774588210983215,0.0,0.0,1.079738621363335,0.9923881935938945
2023-06-07,1,0.41766676,0,426.5499877929688,-0.003457727240027353,0.0,-0.0,1.0760051797201375,0.9923881935938945
2023-06-08,0,0.41912276,0,429.1300048828125,0.006048569132994341,0.0,0.0,1.0825134714371347,0.9923881935938945
2023-06-09,1,0.419519,0,429.8999938964844,0.0017943024372815142,0.0,0.0,1.0844558279973244,0.9923881935938945
2023-06-12,1,0.41802186,0,433.7999877929688,0.00907186311201369,0.0,0.0,1.0942938628199417,0.9923881935938945
2023-06-13,0,0.4150028,0,436.6600036621094,0.006592936721117493,0.0,0.0,1.1015084730118208,0.9923881935938945
2023-06-14,1,0.40762454,0,437.1799926757813,0.0011908327057916779,0.0,0.0,1.10282018532719,0.9923881935938945
2023-06-15,0,0.40207043,0,442.6000061035156,0.012397670338390565,0.0,0.0,1.1164925864273993,0.9923881935938945
2023-06-16,0,0.40074587,0,439.4599914550781,-0.007094474932526573,0.0,-0.0,1.1085716577606384,0.9923881935938945
2023-06-20,0,0.40339604,0,437.1799926757813,-0.0051881828235321725,0.0,-0.0,1.10282018532719,0.9923881935938945
2023-06-21,1,0.406752,0,434.9400024414063,-0.005123725403500368,0.0,-0.0,1.0971696375281361,0.9923881935938945
2023-06-22,0,0.409839,0,436.510009765625,0.0036097101103735874,0.0,0.0,1.1011301018615163,0.9923881935938945
2023-06-23,0,0.41334718,0,433.2099914550781,-0.007560006040454259,0.0,-0.0,1.0928055516401172,0.9923881935938945
2023-06-26,1,0.42171213,0,431.4400024414063,-0.0040857529802734716,0.0,-0.0,1.088340618100644,0.9923881935938945
2023-06-27,0,0.42907774,0,436.1700134277344,0.010963311143060928,0.0,0.0,1.1002724349265127,0.9923881935938945
2023-06-28,1,0.43276596,0,436.3900146484375,0.0005043932731050305,0.0,0.0,1.1008274049412725,0.9923881935938945
2023-06-29,1,0.4314995,0,438.1099853515625,0.003941361271775801,0.0,0.0,1.1051661634420176,0.9923881935938945
2023-06-30,0,0.42965314,0,443.2799987792969,0.011800720368392525,0.0,0.0,1.118207920297406,0.9923881935938945
2023-07-03,0,0.42449912,0,443.7900085449219,0.0011505363811348257,0.0,0.0,1.1194944591913814,0.9923881935938945
2023-07-05,0,0.4176258,0,443.1300048828125,-0.00148719811037068,0.0,-0.0,1.1178295491471015,0.9923881935938945
2023-07-06,0,0.41682532,0,439.6600036621094,-0.007830661842952336,0.0,-0.0,1.1090762039496707,0.9923881935938945
2023-07-07,1,0.42402875,0,438.5499877929688,-0.002524714233486769,0.0,-0.0,1.1062761034715374,0.9923881935938945
2023-07-10,1,0.4353692,0,439.6600036621094,0.0025311045491684947,0.0,0.0,1.1090762039496707,0.9923881935938945
2023-07-11,1,0.43532014,0,442.4599914550781,0.006368529703967729,0.0,0.0,1.1161393886984878,0.9923881935938945
2023-07-12,1,0.43081555,0,446.0199890136719,0.008045919692956538,0.0,0.0,1.1251197565861015,0.9923881935938945
2023-07-13,0,0.42224488,0,449.55999755859375,0.007936883171425269,0.0,0.0,1.134049700647988,0.9923881935938945
2023-07-14,1,0.41398373,0,449.2799987792969,-0.0006228285007950918,0.0,-0.0,1.1333433821731063,0.9923881935938945
2023-07-17,1,0.4067421,0,450.8399963378906,0.003472216797614669,0.0,0.0,1.1372785961021532,0.9923881935938945
2023-07-18,1,0.39971206,0,454.1900024414063,0.007430587638025177,0.0,0.0,1.1457292443793405,0.9923881935938945
2023-07-19,0,0.39797693,0,455.2000122070313,0.002223760453105239,0.0,0.0,1.1482770717629576,0.9923881935938945
2023-07-20,0,0.39431196,0,452.1799926757813,-0.006634489126235876,0.0,-0.0,1.1406588400164404,0.9923881935938945
2023-07-21,1,0.3990535,0,452.1799926757813,0.0,0.0,0.0,1.1406588400164404,0.9923881935938945
2023-07-24,1,0.40393743,0,454.2000122070313,0.004467290822171233,0.0,0.0,1.1457544947836742,0.9923881935938945
2023-07-25,0,0.4056957,0,455.4400024414063,0.00273005328280318,0.0,0.0,1.1488824656034449,0.9923881935938945
